设备编号,设备名称,型号,制造商,位置,状态,购买日期,保修到期日
35,冲压机,wz500,,,使用中,2026/6/1,2026/6/28
37,冲压机,wz501,,,使用中,2026/6/2,2026/6/29
39,冲压机,wz502,,,使用中,2026/6/3,2026/6/30
41,冲压机,wz503,,,使用中,2026/6/4,2026/7/1
43,冲压机,wz504,,,使用中,2026/6/5,2026/7/2
45,冲压机,wz505,,,使用中,2026/6/6,2026/7/3
47,冲压机,wz506,,,使用中,2026/6/7,2026/7/4
49,冲压机,wz507,,,使用中,2026/6/8,2026/7/5
51,冲压机,wz508,,,使用中,2026/6/9,2026/7/6
53,冲压机,wz509,,,使用中,2026/6/10,2026/7/7
55,冲压机,wz510,,,使用中,2026/6/11,2026/7/8
57,冲压机,wz511,,,使用中,2026/6/12,2026/7/9
59,冲压机,wz512,,,使用中,2026/6/13,2026/7/10
61,冲压机,wz513,,,使用中,2026/6/14,2026/7/11
63,冲压机,wz514,,,使用中,2026/6/15,2026/7/12
65,冲压机,wz515,,,使用中,2026/6/16,2026/7/13
67,冲压机,wz516,,,使用中,2026/6/17,2026/7/14
69,冲压机,wz517,,,使用中,2026/6/18,2026/7/15
71,冲压机,wz518,,,使用中,2026/6/19,2026/7/16
73,冲压机,wz519,,,使用中,2026/6/20,2026/7/17
75,冲压机,wz520,,,使用中,2026/6/21,2026/7/18
77,冲压机,wz521,,,使用中,2026/6/22,2026/7/19
